name,color,rarity,numberPicks,averagePick,gamesPlayed,playedPercentage,winrate
Nimble Brigand,U,U,20420,5.04,97537,82.5,51.7
Rictus Robber,B,U,22179,5.08,112754,86.1,53.4
Rattleback Apothecary,B,U,18297,5.09,92637,86.0,53.1
Cactusfolk Sureshot,RG,U,19836,5.13,91069,76.1,55.4
Archmage's Newt,U,R,7097,5.2,27239,66.9,50.9
Badlands Revival,BG,U,26853,5.21,125545,78.0,54.6
Grand Abolisher,W,M,2026,5.22,6127,51.6,52.1
Detention Sphere,WU,R,4872,5.23,18740,65.7,52.2
Abrupt Decay,BG,R,5063,5.25,21624,72.0,54.2
Blooming Marsh,C,R,8854,5.29,38331,73.3,53.3
Archive Trap,U,R,5819,5.31,16643,49.0,52.4
Raucous Entertainer,G,U,20507,5.32,104202,85.6,53.7
Skewer the Critics,R,U,15818,5.35,77423,83.2,52.7
"Jolene, Plundering Pugilist",RG,U,19351,5.4,85877,73.7,54.8
Cruel Ultimatum,UBR,R,5857,5.48,18225,52.3,53.9
Anguished Unmaking,WB,M,2059,5.51,7335,60.9,52.2
Bounding Felidar,W,U,18079,5.53,86683,80.2,54.6
Siphon Insight,UB,R,5139,5.55,20784,69.1,52.6
Giant Beaver,G,C,56120,5.55,313772,92.1,55.5
Vault Plunderer,B,C,63725,5.57,346712,90.1,55.2
Fierce Retribution,W,U,16183,5.58,77250,80.0,53.8
Vanishing Verse,WB,R,5123,5.6,21558,69.5,55.3
Trained Arynx,W,C,62231,5.61,336000,87.8,56.6
Cunning Coyote,R,U,18646,5.71,88402,79.8,53.8
"Lazav, Familiar Stranger",UB,U,21365,5.72,90798,73.0,52.0
Botanical Sanctum,C,R,8220,5.72,30863,64.2,52.7
Dance of the Tumbleweeds,G,C,57441,5.75,297531,85.3,55.6
Explosive Derailment,R,C,47085,5.77,238217,85.4,53.5
Intimidation Campaign,UB,U,23192,5.78,96497,71.0,52.3
Gila Courser,R,U,19000,5.84,87913,77.9,53.5
Inspiring Vantage,C,R,7388,5.84,27786,63.5,53.7
Unscrupulous Contractor,B,U,20080,5.89,93311,78.7,53.1
Concealed Courtyard,C,R,7982,5.89,30579,64.5,53.7
Ruthless Lawbringer,WB,U,24279,5.91,103753,71.0,55.5
Festering Gulch,C,C,39885,5.91,210879,87.7,55.2
"Vial Smasher, Gleeful Grenadier",BR,U,17109,5.93,69973,70.1,51.9
Patient Naturalist,G,C,65697,5.95,340160,85.0,56.0
Creosote Heath,C,C,36767,5.97,199080,89.1,55.9
Bedevil,BR,R,4022,5.99,15737,66.7,51.8
Hellspur Brute,R,U,16648,6.02,76339,77.5,52.9
Mirage Mesa,C,C,62331,6.05,355219,94.9,54.6
Insatiable Avarice,B,R,5875,6.08,15178,44.3,51.7
Spirebluff Canal,C,R,7231,6.11,24811,59.4,50.4
"Loot, the Key to Everything",URG,M,2563,6.11,4384,29.4,50.8
"Lilah, Undefeated Slickshot",UR,R,7113,6.15,19021,46.3,50.3
"Ertha Jo, Frontier Mentor",WR,U,18870,6.19,72661,64.5,54.3
Betrayal at the Vault,G,U,23076,6.22,107952,77.5,55.3
Forsaken Miner,B,U,17568,6.24,77265,74.4,53.1
"Taii Wakeen, Perfect Shot",WR,R,7385,6.25,19760,45.4,52.6
Soured Springs,C,C,37535,6.26,187893,84.1,54.0
Jagged Barrens,C,C,33951,6.26,170459,84.2,53.8
Make Your Own Luck,UG,U,24549,6.32,98154,67.3,53.6
Transmutation Font,C,M,2410,6.35,5177,37.4,49.6
Desperate Bloodseeker,B,C,63609,6.36,331861,87.1,54.7
Bristling Backwoods,C,C,34202,6.4,171724,83.0,55.0
Treasure Dredger,B,U,20780,6.41,96895,79.3,52.4
Mobile Homestead,C,U,23457,6.42,104882,73.8,55.4
Lush Oasis,C,C,37092,6.48,181965,81.5,54.7
"Kraum, Violent Cacophony",UR,U,18101,6.52,66007,62.7,51.3
Omenport Vigilante,W,U,19058,6.53,82761,72.4,54.5
Pillage the Bog,BG,R,8855,6.54,26446,50.8,53.5
Deepmuck Desperado,U,U,20286,6.61,77882,67.0,50.5
Canyon Crab,U,U,22442,6.63,97240,74.3,52.3
Holy Cow,W,C,49011,6.66,249507,83.8,55.7
"Breeches, the Blastmaker",UR,R,6949,6.68,14235,35.7,48.5
Forlorn Flats,C,C,37911,6.69,187257,82.2,54.7
"Jem Lightfoote, Sky Explorer",WU,U,17006,6.69,56964,58.3,50.3
Snakeskin Veil,G,C,62554,6.7,319969,84.1,56.0
At Knifepoint,BR,U,17847,6.72,63553,62.3,50.0
Tyrant's Scorn,UB,U,22058,6.77,90483,69.4,53.3
Visage Bandit,U,U,19900,6.78,77894,67.5,51.3
Prickly Pair,R,C,49573,6.8,236591,80.1,53.8
Drover Grizzly,G,C,57520,6.93,293753,84.2,55.6
Wrangler of the Damned,WU,U,18270,6.95,60479,57.7,49.9
Baron Bertram Graywater,WB,U,19067,6.96,65105,57.9,52.6
Abraded Bluffs,C,C,33251,7.04,155147,77.7,54.4
Metamorphic Blast,U,U,20949,7.05,87412,70.7,53.0
Omenpath Journey,G,M,2433,7.05,3638,25.4,49.8
Emergent Haunting,U,U,20883,7.07,75904,62.9,51.0
Resilient Roadrunner,R,U,17774,7.13,71860,68.3,53.3
Eroded Canyon,C,C,33279,7.13,150543,76.7,52.9
Conduit Pylons,C,C,61805,7.17,339925,90.9,55.1
This Town Ain't Big Enough,U,U,22857,7.18,89917,67.8,51.8
Lively Dirge,B,U,22007,7.19,78921,60.0,54.2
Thunder Salvo,R,C,43732,7.24,187361,72.9,52.5
Raven of Fell Omens,B,C,49430,7.27,222604,76.7,52.6
